,Datetime,PV Leistung in kW
282,03.01. 22:30,0.0
283,03.01. 22:45,0.0
284,03.01. 23:00,0.0
285,03.01. 23:15,0.0
286,03.01. 23:30,0.0
287,03.01. 23:45,0.0
288,04.01. 00:00,0.0
289,04.01. 00:15,0.0
290,04.01. 00:30,0.0
291,04.01. 00:45,0.0
292,04.01. 01:00,0.0
293,04.01. 01:15,0.0
294,04.01. 01:30,0.0
295,04.01. 01:45,0.0
296,04.01. 02:00,0.0
297,04.01. 02:15,0.0
298,04.01. 02:30,0.0
299,04.01. 02:45,0.0
300,04.01. 03:00,0.0
301,04.01. 03:15,0.0
302,04.01. 03:30,0.0
303,04.01. 03:45,0.0
304,04.01. 04:00,0.0
305,04.01. 04:15,0.0
306,04.01. 04:30,0.0
307,04.01. 04:45,0.0
308,04.01. 05:00,0.0
309,04.01. 05:15,0.0
310,04.01. 05:30,0.0
311,04.01. 05:45,0.0
312,04.01. 06:00,0.0
313,04.01. 06:15,0.0
314,04.01. 06:30,0.0
315,04.01. 06:45,0.0
316,04.01. 07:00,0.0
317,04.01. 07:15,0.008963333333333325
318,04.01. 07:30,0.01792666666666665
319,04.01. 07:45,0.026889999999999976
320,04.01. 08:00,0.0358533333333333
321,04.01. 08:15,0.04890874999999997
322,04.01. 08:30,0.061964166666666654
323,04.01. 08:45,0.07501958333333333
324,04.01. 09:00,0.088075
325,04.01. 09:15,0.10770583333333332
326,04.01. 09:30,0.12733666666666665
327,04.01. 09:45,0.14696749999999997
328,04.01. 10:00,0.1665983333333333
329,04.01. 10:15,0.16279416666666663
330,04.01. 10:30,0.15898999999999996
331,04.01. 10:45,0.15518583333333327
332,04.01. 11:00,0.1513816666666666
333,04.01. 11:15,0.14930124999999994
334,04.01. 11:30,0.1472208333333333
335,04.01. 11:45,0.14514041666666666
336,04.01. 12:00,0.14306
337,04.01. 12:15,0.13636208333333333
338,04.01. 12:30,0.12966416666666664
339,04.01. 12:45,0.12296624999999997
340,04.01. 13:00,0.1162683333333333
341,04.01. 13:15,0.11430749999999998
342,04.01. 13:30,0.11234666666666665
343,04.01. 13:45,0.11038583333333332
344,04.01. 14:00,0.108425
345,04.01. 14:15,0.08284916666666664
346,04.01. 14:30,0.057273333333333294
347,04.01. 14:45,0.03169749999999995
348,04.01. 15:00,0.0061216666666666
349,04.01. 15:15,0.0045912499999999495
350,04.01. 15:30,0.0030608333333333
351,04.01. 15:45,0.0015304166666666504
352,04.01. 16:00,0.0
353,04.01. 16:15,0.0
354,04.01. 16:30,0.0
355,04.01. 16:45,0.0
356,04.01. 17:00,0.0
357,04.01. 17:15,0.0
358,04.01. 17:30,0.0
359,04.01. 17:45,0.0
360,04.01. 18:00,0.0
361,04.01. 18:15,0.0
