wochentag_uhrzeit,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Mo 21:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 21:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 22:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 22:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 22:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 22:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 23:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 23:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 23:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mo 23:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 00:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 00:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 00:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 00:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 01:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 01:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 01:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 01:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 02:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 02:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 02:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 02:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 03:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 03:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 03:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 03:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 04:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 04:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 04:30,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
Di 04:45,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
Di 05:00,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
Di 05:15,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1
Di 05:30,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
Di 05:45,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Di 06:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 06:15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 06:30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 06:45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 07:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 07:15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Di 07:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Di 07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Di 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 08:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 08:45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Di 09:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Di 09:15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Di 09:30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Di 09:45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Di 10:00,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Di 10:15,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Di 10:30,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Di 10:45,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Di 11:00,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Di 11:15,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Di 11:30,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Di 11:45,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Di 12:00,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Di 12:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 12:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 12:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 13:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 13:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 13:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 13:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 14:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 14:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 14:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 14:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Di 15:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Di 15:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Di 15:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Di 16:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 16:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di 18:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 18:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 19:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Di 19:15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Di 19:30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Di 19:45,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Di 20:00,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
Di 20:15,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
Di 20:30,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
Di 20:45,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
