Datum_Zeit;Wochentag;Fahrplan;Bus_1_kWh_15min;Bus_2_kWh_15min;Bus_3_kWh_15min;Bus_4_kWh_15min;Bus_5_kWh_15min;Bus_6_kWh_15min;Bus_7_kWh_15min;Bus_8_kWh_15min;Bus_9_kWh_15min;Bus_10_kWh_15min;Bus_11_kWh_15min;Bus_12_kWh_15min;Bus_13_kWh_15min;Bus_14_kWh_15min;Bus_15_kWh_15min;Bus_16_kWh_15min;Bus_17_kWh_15min;Bus_18_kWh_15min;Bus_19_kWh_15min
01.01.2024 15:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 16:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 16:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 16:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 16:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 17:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 17:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 17:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 17:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 18:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 18:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 18:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 18:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 19:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 19:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 19:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 19:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;0;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 20:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;0;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
