,Datetime,PV Leistung in kW
501,06.01. 05:15,0
502,06.01. 05:30,0
503,06.01. 05:45,0
504,06.01. 06:00,0
505,06.01. 06:15,0
506,06.01. 06:30,0
507,06.01. 06:45,0
508,06.01. 07:00,0
509,06.01. 07:15,0
510,06.01. 07:30,0
511,06.01. 07:45,0
512,06.01. 08:00,0.012345
513,06.01. 08:15,0.012345
514,06.01. 08:30,0.012345
515,06.01. 08:45,0.012345
516,06.01. 09:00,0.13998666666666668
517,06.01. 09:15,0.13998666666666668
518,06.01. 09:30,0.13998666666666668
519,06.01. 09:45,0.13998666666666668
520,06.01. 10:00,0.2599666666666667
521,06.01. 10:15,0.2599666666666667
522,06.01. 10:30,0.2599666666666667
523,06.01. 10:45,0.2599666666666667
524,06.01. 11:00,0.3000566666666667
525,06.01. 11:15,0.3000566666666667
526,06.01. 11:30,0.3000566666666667
527,06.01. 11:45,0.3000566666666667
528,06.01. 12:00,0.290555
529,06.01. 12:15,0.290555
530,06.01. 12:30,0.290555
531,06.01. 12:45,0.290555
532,06.01. 13:00,0.23761833333333335
533,06.01. 13:15,0.23761833333333335
534,06.01. 13:30,0.23761833333333335
535,06.01. 13:45,0.23761833333333335
536,06.01. 14:00,0.134115
537,06.01. 14:15,0.134115
538,06.01. 14:30,0.134115
539,06.01. 14:45,0.134115
540,06.01. 15:00,0.03434666666666667
541,06.01. 15:15,0.03434666666666667
542,06.01. 15:30,0.03434666666666667
543,06.01. 15:45,0.03434666666666667
544,06.01. 16:00,0
545,06.01. 16:15,0
546,06.01. 16:30,0
547,06.01. 16:45,0
548,06.01. 17:00,0
549,06.01. 17:15,0
550,06.01. 17:30,0
551,06.01. 17:45,0
552,06.01. 18:00,0
553,06.01. 18:15,0
554,06.01. 18:30,0
555,06.01. 18:45,0
556,06.01. 19:00,0
557,06.01. 19:15,0
558,06.01. 19:30,0
559,06.01. 19:45,0
560,06.01. 20:00,0
561,06.01. 20:15,0
562,06.01. 20:30,0
563,06.01. 20:45,0
564,06.01. 21:00,0
565,06.01. 21:15,0
566,06.01. 21:30,0
567,06.01. 21:45,0
568,06.01. 22:00,0
569,06.01. 22:15,0
570,06.01. 22:30,0
571,06.01. 22:45,0
572,06.01. 23:00,0
573,06.01. 23:15,0
574,06.01. 23:30,0
575,06.01. 23:45,0
576,07.01. 00:00,0
577,07.01. 00:15,0
578,07.01. 00:30,0
579,07.01. 00:45,0
580,07.01. 01:00,0
581,07.01. 01:15,0
582,07.01. 01:30,0
583,07.01. 01:45,0
584,07.01. 02:00,0
585,07.01. 02:15,0
586,07.01. 02:30,0
587,07.01. 02:45,0
588,07.01. 03:00,0
589,07.01. 03:15,0
590,07.01. 03:30,0
591,07.01. 03:45,0
592,07.01. 04:00,0
593,07.01. 04:15,0
594,07.01. 04:30,0
595,07.01. 04:45,0
596,07.01. 05:00,0
597,07.01. 05:15,0
598,07.01. 05:30,0
599,07.01. 05:45,0
600,07.01. 06:00,0
601,07.01. 06:15,0
602,07.01. 06:30,0
603,07.01. 06:45,0
604,07.01. 07:00,0
605,07.01. 07:15,0
606,07.01. 07:30,0
607,07.01. 07:45,0
608,07.01. 08:00,0.018236666666666665
609,07.01. 08:15,0.018236666666666665
610,07.01. 08:30,0.018236666666666665
611,07.01. 08:45,0.018236666666666665
612,07.01. 09:00,0.05599833333333334
613,07.01. 09:15,0.05599833333333334
614,07.01. 09:30,0.05599833333333334
615,07.01. 09:45,0.05599833333333334
616,07.01. 10:00,0.1856566666666667
617,07.01. 10:15,0.1856566666666667
618,07.01. 10:30,0.1856566666666667
619,07.01. 10:45,0.1856566666666667
620,07.01. 11:00,0.14363333333333334
621,07.01. 11:15,0.14363333333333334
622,07.01. 11:30,0.14363333333333334
623,07.01. 11:45,0.14363333333333334
624,07.01. 12:00,0.11439
625,07.01. 12:15,0.11439
626,07.01. 12:30,0.11439
627,07.01. 12:45,0.11439
628,07.01. 13:00,0.059851666666666664
629,07.01. 13:15,0.059851666666666664
630,07.01. 13:30,0.059851666666666664
631,07.01. 13:45,0.059851666666666664
632,07.01. 14:00,0.03903333333333333
633,07.01. 14:15,0.03903333333333333
634,07.01. 14:30,0.03903333333333333
635,07.01. 14:45,0.03903333333333333
636,07.01. 15:00,0.023623333333333333
637,07.01. 15:15,0.023623333333333333
638,07.01. 15:30,0.023623333333333333
639,07.01. 15:45,0.023623333333333333
640,07.01. 16:00,0
641,07.01. 16:15,0
642,07.01. 16:30,0
643,07.01. 16:45,0
644,07.01. 17:00,0
645,07.01. 17:15,0
646,07.01. 17:30,0
647,07.01. 17:45,0
648,07.01. 18:00,0
649,07.01. 18:15,0
650,07.01. 18:30,0
651,07.01. 18:45,0
652,07.01. 19:00,0
653,07.01. 19:15,0
654,07.01. 19:30,0
655,07.01. 19:45,0
656,07.01. 20:00,0
657,07.01. 20:15,0
658,07.01. 20:30,0
659,07.01. 20:45,0
660,07.01. 21:00,0
661,07.01. 21:15,0
662,07.01. 21:30,0
663,07.01. 21:45,0
664,07.01. 22:00,0
665,07.01. 22:15,0
666,07.01. 22:30,0
667,07.01. 22:45,0
668,07.01. 23:00,0
669,07.01. 23:15,0
670,07.01. 23:30,0
671,07.01. 23:45,0
672,08.01. 00:00,0
673,08.01. 00:15,0
674,08.01. 00:30,0
675,08.01. 00:45,0
676,08.01. 01:00,0
677,08.01. 01:15,0
678,08.01. 01:30,0
679,08.01. 01:45,0
680,08.01. 02:00,0
681,08.01. 02:15,0
682,08.01. 02:30,0
683,08.01. 02:45,0
684,08.01. 03:00,0
685,08.01. 03:15,0
686,08.01. 03:30,0
687,08.01. 03:45,0
688,08.01. 04:00,0
689,08.01. 04:15,0
690,08.01. 04:30,0
691,08.01. 04:45,0
692,08.01. 05:00,0
693,08.01. 05:15,0
694,08.01. 05:30,0
695,08.01. 05:45,0
696,08.01. 06:00,0
697,08.01. 06:15,0
698,08.01. 06:30,0
699,08.01. 06:45,0
700,08.01. 07:00,0
701,08.01. 07:15,0
702,08.01. 07:30,0
703,08.01. 07:45,0
704,08.01. 08:00,0.017301666666666667
705,08.01. 08:15,0.017301666666666667
706,08.01. 08:30,0.017301666666666667
707,08.01. 08:45,0.017301666666666667
708,08.01. 09:00,0.119865
709,08.01. 09:15,0.119865
710,08.01. 09:30,0.119865
711,08.01. 09:45,0.119865
712,08.01. 10:00,0.15983666666666665
713,08.01. 10:15,0.15983666666666665
714,08.01. 10:30,0.15983666666666665
715,08.01. 10:45,0.15983666666666665
716,08.01. 11:00,0.14669
717,08.01. 11:15,0.14669
718,08.01. 11:30,0.14669
719,08.01. 11:45,0.14669
720,08.01. 12:00,0.15936499999999998
721,08.01. 12:15,0.15936499999999998
722,08.01. 12:30,0.15936499999999998
723,08.01. 12:45,0.15936499999999998
724,08.01. 13:00,0.21614333333333335
725,08.01. 13:15,0.21614333333333335
726,08.01. 13:30,0.21614333333333335
727,08.01. 13:45,0.21614333333333335
728,08.01. 14:00,0.15651166666666666
729,08.01. 14:15,0.15651166666666666
730,08.01. 14:30,0.15651166666666666
731,08.01. 14:45,0.15651166666666666
732,08.01. 15:00,0.03814
733,08.01. 15:15,0.03814
734,08.01. 15:30,0.03814
735,08.01. 15:45,0.03814
736,08.01. 16:00,0
737,08.01. 16:15,0
738,08.01. 16:30,0
739,08.01. 16:45,0
740,08.01. 17:00,0
741,08.01. 17:15,0
742,08.01. 17:30,0
743,08.01. 17:45,0
744,08.01. 18:00,0
745,08.01. 18:15,0
746,08.01. 18:30,0
747,08.01. 18:45,0
748,08.01. 19:00,0
749,08.01. 19:15,0
750,08.01. 19:30,0
751,08.01. 19:45,0
752,08.01. 20:00,0
753,08.01. 20:15,0
754,08.01. 20:30,0
755,08.01. 20:45,0
756,08.01. 21:00,0
757,08.01. 21:15,0
758,08.01. 21:30,0
759,08.01. 21:45,0
760,08.01. 22:00,0
761,08.01. 22:15,0
762,08.01. 22:30,0
763,08.01. 22:45,0
764,08.01. 23:00,0
765,08.01. 23:15,0
766,08.01. 23:30,0
767,08.01. 23:45,0
768,09.01. 00:00,0
769,09.01. 00:15,0
770,09.01. 00:30,0
771,09.01. 00:45,0
772,09.01. 01:00,0
773,09.01. 01:15,0
774,09.01. 01:30,0
775,09.01. 01:45,0
776,09.01. 02:00,0
777,09.01. 02:15,0
778,09.01. 02:30,0
779,09.01. 02:45,0
780,09.01. 03:00,0
781,09.01. 03:15,0
782,09.01. 03:30,0
783,09.01. 03:45,0
784,09.01. 04:00,0
785,09.01. 04:15,0
786,09.01. 04:30,0
787,09.01. 04:45,0
788,09.01. 05:00,0
789,09.01. 05:15,0
790,09.01. 05:30,0
791,09.01. 05:45,0
792,09.01. 06:00,0
793,09.01. 06:15,0
794,09.01. 06:30,0
795,09.01. 06:45,0
796,09.01. 07:00,0
797,09.01. 07:15,0
798,09.01. 07:30,0
799,09.01. 07:45,0
800,09.01. 08:00,0.048378333333333336
801,09.01. 08:15,0.048378333333333336
802,09.01. 08:30,0.048378333333333336
803,09.01. 08:45,0.048378333333333336
804,09.01. 09:00,0.15875
805,09.01. 09:15,0.15875
806,09.01. 09:30,0.15875
807,09.01. 09:45,0.15875
808,09.01. 10:00,0.20137000000000002
809,09.01. 10:15,0.20137000000000002
810,09.01. 10:30,0.20137000000000002
811,09.01. 10:45,0.20137000000000002
812,09.01. 11:00,0.17218166666666668
813,09.01. 11:15,0.17218166666666668
814,09.01. 11:30,0.17218166666666668
815,09.01. 11:45,0.17218166666666668
816,09.01. 12:00,0.17947500000000002
817,09.01. 12:15,0.17947500000000002
818,09.01. 12:30,0.17947500000000002
819,09.01. 12:45,0.17947500000000002
820,09.01. 13:00,0.2043016666666667
821,09.01. 13:15,0.2043016666666667
822,09.01. 13:30,0.2043016666666667
823,09.01. 13:45,0.2043016666666667
824,09.01. 14:00,0.09596833333333334
825,09.01. 14:15,0.09596833333333334
826,09.01. 14:30,0.09596833333333334
827,09.01. 14:45,0.09596833333333334
828,09.01. 15:00,0.025399999999999995
829,09.01. 15:15,0.025399999999999995
830,09.01. 15:30,0.025399999999999995
