,Datetime,PV Leistung in kW
410,05.01. 06:30,0.0
411,05.01. 06:45,0.0
412,05.01. 07:00,0.0
413,05.01. 07:15,0.00643
414,05.01. 07:30,0.01286
415,05.01. 07:45,0.01929
416,05.01. 08:00,0.02572
417,05.01. 08:15,0.04391416666666665
418,05.01. 08:30,0.0621083333333333
419,05.01. 08:45,0.08030249999999994
420,05.01. 09:00,0.0984966666666666
421,05.01. 09:15,0.1027429166666666
422,05.01. 09:30,0.1069891666666666
423,05.01. 09:45,0.11123541666666659
424,05.01. 10:00,0.1154816666666666
425,05.01. 10:15,0.11396083333333328
426,05.01. 10:30,0.11243999999999996
427,05.01. 10:45,0.11091916666666662
428,05.01. 11:00,0.1093983333333333
429,05.01. 11:15,0.10518291666666663
430,05.01. 11:30,0.10096749999999996
431,05.01. 11:45,0.09675208333333328
432,05.01. 12:00,0.0925366666666666
433,05.01. 12:15,0.08549083333333328
434,05.01. 12:30,0.07844499999999996
435,05.01. 12:45,0.07139916666666662
436,05.01. 13:00,0.0643533333333333
437,05.01. 13:15,0.05269124999999998
438,05.01. 13:30,0.04102916666666665
439,05.01. 13:45,0.02936708333333332
440,05.01. 14:00,0.017705
441,05.01. 14:15,0.013742083333333325
442,05.01. 14:30,0.00977916666666665
443,05.01. 14:45,0.005816249999999974
444,05.01. 15:00,0.0018533333333333
445,05.01. 15:15,0.001389999999999975
446,05.01. 15:30,0.00092666666666665
447,05.01. 15:45,0.00046333333333332494
448,05.01. 16:00,0.0
449,05.01. 16:15,0.0
450,05.01. 16:30,0.0
451,05.01. 16:45,0.0
452,05.01. 17:00,0.0
453,05.01. 17:15,0.0
454,05.01. 17:30,0.0
455,05.01. 17:45,0.0
456,05.01. 18:00,0.0
457,05.01. 18:15,0.0
458,05.01. 18:30,0.0
459,05.01. 18:45,0.0
460,05.01. 19:00,0.0
461,05.01. 19:15,0.0
462,05.01. 19:30,0.0
463,05.01. 19:45,0.0
464,05.01. 20:00,0.0
465,05.01. 20:15,0.0
466,05.01. 20:30,0.0
467,05.01. 20:45,0.0
468,05.01. 21:00,0.0
469,05.01. 21:15,0.0
470,05.01. 21:30,0.0
471,05.01. 21:45,0.0
472,05.01. 22:00,0.0
473,05.01. 22:15,0.0
474,05.01. 22:30,0.0
475,05.01. 22:45,0.0
476,05.01. 23:00,0.0
477,05.01. 23:15,0.0
478,05.01. 23:30,0.0
479,05.01. 23:45,0.0
480,06.01. 00:00,0.0
481,06.01. 00:15,0.0
482,06.01. 00:30,0.0
483,06.01. 00:45,0.0
484,06.01. 01:00,0.0
485,06.01. 01:15,0.0
486,06.01. 01:30,0.0
487,06.01. 01:45,0.0
488,06.01. 02:00,0.0
489,06.01. 02:15,0.0
490,06.01. 02:30,0.0
491,06.01. 02:45,0.0
492,06.01. 03:00,0.0
493,06.01. 03:15,0.0
494,06.01. 03:30,0.0
495,06.01. 03:45,0.0
496,06.01. 04:00,0.0
497,06.01. 04:15,0.0
498,06.01. 04:30,0.0
499,06.01. 04:45,0.0
500,06.01. 05:00,0.0
501,06.01. 05:15,0.0
502,06.01. 05:30,0.0
503,06.01. 05:45,0.0
504,06.01. 06:00,0.0
505,06.01. 06:15,0.0
506,06.01. 06:30,0.0
507,06.01. 06:45,0.0
508,06.01. 07:00,0.0
509,06.01. 07:15,0.00236541666666665
510,06.01. 07:30,0.0047308333333333
511,06.01. 07:45,0.00709624999999995
512,06.01. 08:00,0.0094616666666666
513,06.01. 08:15,0.030081666666666597
514,06.01. 08:30,0.050701666666666596
515,06.01. 08:45,0.0713216666666666
516,06.01. 09:00,0.0919416666666666
517,06.01. 09:15,0.10561416666666662
518,06.01. 09:30,0.11928666666666665
519,06.01. 09:45,0.13295916666666668
520,06.01. 10:00,0.1466316666666667
521,06.01. 10:15,0.14696916666666665
522,06.01. 10:30,0.14730666666666664
523,06.01. 10:45,0.14764416666666663
524,06.01. 11:00,0.1479816666666666
525,06.01. 11:15,0.14173374999999994
526,06.01. 11:30,0.1354858333333333
527,06.01. 11:45,0.12923791666666665
528,06.01. 12:00,0.12299
529,06.01. 12:15,0.11045958333333333
530,06.01. 12:30,0.09792916666666665
531,06.01. 12:45,0.08539874999999997
532,06.01. 13:00,0.0728683333333333
533,06.01. 13:15,0.062025416666666625
534,06.01. 13:30,0.05118249999999995
535,06.01. 13:45,0.040339583333333276
536,06.01. 14:00,0.0294966666666666
537,06.01. 14:15,0.02294083333333328
538,06.01. 14:30,0.01638499999999995
539,06.01. 14:45,0.009829166666666625
540,06.01. 15:00,0.0032733333333333
541,06.01. 15:15,0.002454999999999975
542,06.01. 15:30,0.00163666666666665
543,06.01. 15:45,0.000818333333333325
544,06.01. 16:00,0.0
545,06.01. 16:15,0.0
546,06.01. 16:30,0.0
547,06.01. 16:45,0.0
548,06.01. 17:00,0.0
549,06.01. 17:15,0.0
550,06.01. 17:30,0.0
551,06.01. 17:45,0.0
552,06.01. 18:00,0.0
553,06.01. 18:15,0.0
554,06.01. 18:30,0.0
555,06.01. 18:45,0.0
