,Datetime,PV Leistung in kW
472,05.01. 22:00,0.0
473,05.01. 22:15,0.0
474,05.01. 22:30,0.0
475,05.01. 22:45,0.0
476,05.01. 23:00,0.0
477,05.01. 23:15,0.0
478,05.01. 23:30,0.0
479,05.01. 23:45,0.0
480,06.01. 00:00,0.0
481,06.01. 00:15,0.0
482,06.01. 00:30,0.0
483,06.01. 00:45,0.0
484,06.01. 01:00,0.0
485,06.01. 01:15,0.0
486,06.01. 01:30,0.0
487,06.01. 01:45,0.0
488,06.01. 02:00,0.0
489,06.01. 02:15,0.0
490,06.01. 02:30,0.0
491,06.01. 02:45,0.0
492,06.01. 03:00,0.0
493,06.01. 03:15,0.0
494,06.01. 03:30,0.0
495,06.01. 03:45,0.0
496,06.01. 04:00,0.0
497,06.01. 04:15,0.0
498,06.01. 04:30,0.0
499,06.01. 04:45,0.0
500,06.01. 05:00,0.0
501,06.01. 05:15,0.0
502,06.01. 05:30,0.0
503,06.01. 05:45,0.0
504,06.01. 06:00,0.0
505,06.01. 06:15,0.0
506,06.01. 06:30,0.0
507,06.01. 06:45,0.0
508,06.01. 07:00,0.0
509,06.01. 07:15,0.001475
510,06.01. 07:30,0.00295
511,06.01. 07:45,0.004425
512,06.01. 08:00,0.0059
513,06.01. 08:15,0.015287083333333323
514,06.01. 08:30,0.024674166666666646
515,06.01. 08:45,0.034061249999999973
516,06.01. 09:00,0.0434483333333333
517,06.01. 09:15,0.0536270833333333
518,06.01. 09:30,0.0638058333333333
519,06.01. 09:45,0.0739845833333333
520,06.01. 10:00,0.0841633333333333
521,06.01. 10:15,0.09460541666666662
522,06.01. 10:30,0.10504749999999996
523,06.01. 10:45,0.11548958333333328
524,06.01. 11:00,0.1259316666666666
525,06.01. 11:15,0.13178708333333328
526,06.01. 11:30,0.13764249999999995
527,06.01. 11:45,0.14349791666666664
528,06.01. 12:00,0.1493533333333333
529,06.01. 12:15,0.14578666666666662
530,06.01. 12:30,0.14221999999999996
531,06.01. 12:45,0.1386533333333333
532,06.01. 13:00,0.1350866666666666
533,06.01. 13:15,0.1220066666666666
534,06.01. 13:30,0.1089266666666666
535,06.01. 13:45,0.09584666666666661
536,06.01. 14:00,0.0827666666666666
537,06.01. 14:15,0.06689124999999996
538,06.01. 14:30,0.0510158333333333
539,06.01. 14:45,0.03514041666666665
540,06.01. 15:00,0.019265
541,06.01. 15:15,0.01444875
542,06.01. 15:30,0.0096325
543,06.01. 15:45,0.004816250000000001
544,06.01. 16:00,0.0
545,06.01. 16:15,0.0
546,06.01. 16:30,0.0
547,06.01. 16:45,0.0
548,06.01. 17:00,0.0
549,06.01. 17:15,0.0
550,06.01. 17:30,0.0
551,06.01. 17:45,0.0
552,06.01. 18:00,0.0
553,06.01. 18:15,0.0
554,06.01. 18:30,0.0
555,06.01. 18:45,0.0
556,06.01. 19:00,0.0
557,06.01. 19:15,0.0
558,06.01. 19:30,0.0
559,06.01. 19:45,0.0
560,06.01. 20:00,0.0
561,06.01. 20:15,0.0
562,06.01. 20:30,0.0
563,06.01. 20:45,0.0
564,06.01. 21:00,0.0
565,06.01. 21:15,0.0
566,06.01. 21:30,0.0
567,06.01. 21:45,0.0
568,06.01. 22:00,0.0
569,06.01. 22:15,0.0
570,06.01. 22:30,0.0
571,06.01. 22:45,0.0
572,06.01. 23:00,0.0
573,06.01. 23:15,0.0
574,06.01. 23:30,0.0
575,06.01. 23:45,0.0
576,07.01. 00:00,0.0
577,07.01. 00:15,0.0
578,07.01. 00:30,0.0
579,07.01. 00:45,0.0
580,07.01. 01:00,0.0
581,07.01. 01:15,0.0
582,07.01. 01:30,0.0
583,07.01. 01:45,0.0
584,07.01. 02:00,0.0
585,07.01. 02:15,0.0
586,07.01. 02:30,0.0
587,07.01. 02:45,0.0
588,07.01. 03:00,0.0
589,07.01. 03:15,0.0
590,07.01. 03:30,0.0
591,07.01. 03:45,0.0
592,07.01. 04:00,0.0
593,07.01. 04:15,0.0
594,07.01. 04:30,0.0
595,07.01. 04:45,0.0
596,07.01. 05:00,0.0
597,07.01. 05:15,0.0
598,07.01. 05:30,0.0
599,07.01. 05:45,0.0
600,07.01. 06:00,0.0
601,07.01. 06:15,0.0
602,07.01. 06:30,0.0
603,07.01. 06:45,0.0
604,07.01. 07:00,0.0
605,07.01. 07:15,0.0014625
606,07.01. 07:30,0.002925
607,07.01. 07:45,0.0043875
608,07.01. 08:00,0.00585
609,07.01. 08:15,0.0135325
610,07.01. 08:30,0.021215
611,07.01. 08:45,0.0288975
612,07.01. 09:00,0.03658
613,07.01. 09:15,0.04387666666666665
614,07.01. 09:30,0.0511733333333333
615,07.01. 09:45,0.05846999999999995
616,07.01. 10:00,0.0657666666666666
617,07.01. 10:15,0.06970458333333328
618,07.01. 10:30,0.07364249999999994
619,07.01. 10:45,0.07758041666666662
620,07.01. 11:00,0.0815183333333333
621,07.01. 11:15,0.07873333333333331
622,07.01. 11:30,0.07594833333333331
623,07.01. 11:45,0.0731633333333333
624,07.01. 12:00,0.0703783333333333
625,07.01. 12:15,0.06526124999999998
626,07.01. 12:30,0.06014416666666665
627,07.01. 12:45,0.05502708333333333
628,07.01. 13:00,0.04991
629,07.01. 13:15,0.04604375
630,07.01. 13:30,0.04217750000000001
631,07.01. 13:45,0.038311250000000005
632,07.01. 14:00,0.034445
633,07.01. 14:15,0.02917625
634,07.01. 14:30,0.0239075
635,07.01. 14:45,0.018638750000000003
636,07.01. 15:00,0.01337
637,07.01. 15:15,0.0100275
638,07.01. 15:30,0.006685
639,07.01. 15:45,0.0033425
640,07.01. 16:00,0.0
641,07.01. 16:15,0.0
642,07.01. 16:30,0.0
643,07.01. 16:45,0.0
644,07.01. 17:00,0.0
645,07.01. 17:15,0.0
646,07.01. 17:30,0.0
647,07.01. 17:45,0.0
648,07.01. 18:00,0.0
649,07.01. 18:15,0.0
650,07.01. 18:30,0.0
651,07.01. 18:45,0.0
652,07.01. 19:00,0.0
653,07.01. 19:15,0.0
654,07.01. 19:30,0.0
655,07.01. 19:45,0.0
656,07.01. 20:00,0.0
657,07.01. 20:15,0.0
658,07.01. 20:30,0.0
659,07.01. 20:45,0.0
