snapshot,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Montag 12:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 12:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 12:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 12:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 13:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 13:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 13:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 13:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 14:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 14:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 14:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 14:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 15:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,0.0,3.162520833333333
Montag 15:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,0.0,3.162520833333333
Montag 15:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,0.0,3.162520833333333
Montag 15:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,0.0,3.162520833333333
Montag 16:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 16:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 16:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 16:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 17:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 17:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 17:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 17:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 18:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 18:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 18:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 18:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 19:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 19:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 19:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 19:45,0.0,6.048453125,5.7482033898305085,6.025830508474578,0.0,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,0.0,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,0.0,5.924285714285714,3.162520833333333
Montag 20:00,0.0,6.048453125,0.0,6.025830508474578,0.0,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,0.0,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,0.0,5.924285714285714,0.0
Montag 20:15,0.0,6.048453125,0.0,6.025830508474578,0.0,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,0.0,0.0,6.6127343750000005,6.614897058823529,0.0,0.0,0.0,0.0
Montag 20:30,0.0,6.048453125,0.0,0.0,0.0,4.5153875,0.0,6.176083333333334,7.029829268292684,6.955240740740742,0.0,0.0,0.0,6.6127343750000005,6.614897058823529,0.0,0.0,0.0,0.0
Montag 20:45,0.0,6.048453125,0.0,0.0,0.0,4.5153875,0.0,6.176083333333334,7.029829268292684,0.0,0.0,0.0,0.0,0.0,6.614897058823529,0.0,0.0,0.0,0.0
Montag 21:00,0.0,6.048453125,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.614897058823529,0.0,0.0,0.0,0.0
Montag 21:15,0.0,6.048453125,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.614897058823529,0.0,0.0,0.0,0.0
Montag 21:30,0.0,0.0,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montag 21:45,0.0,0.0,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montag 22:00,0.0,0.0,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montag 22:15,0.0,0.0,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montag 22:30,0.0,0.0,0.0,0.0,0.0,4.5153875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
