elektrische Last,Wärmelast
0.53167787,3.048803885
0.42752111,3.043817335
0.636545113,3.176658274
0.978097819,3.304366723
0.557776267,3.478380257
0.726255393,3.467965095
1.34840139,3.51412121
0.634603127,3.427729174
0.957256994,3.303318196
0.355951821,2.648833441
0.230291118,2.586365558
0.448882955,2.569397744
0.538593235,2.614602511
0.332316431,2.653697033
0.359125311,2.818088566
0.462571588,3.083116582
0.656722821,3.246221251
0.385318439,3.189730659
1.15960246,3.019082275
0.52196794,2.845071772
0.479717904,2.696268951
0.357514883,2.58842238
0.689973411,2.54116731
3.114282402,2.487828251
0.574070003,2.456467081
0.500037708,2.458074262
1.278631991,2.597508931
0.816297231,2.726316335
1.366589747,2.912418376
0.75287481,2.914091719
0.561044487,2.969039475
0.828375436,2.879350574
0.637160865,2.746147956
0.660938352,2.901982819
0.287556022,2.816047862
0.4484093,2.788934754
0.451488059,2.802778351
0.417479621,2.806222823
0.213571093,2.8407331
0.454045796,2.895320085
0.395407293,3.081797418
0.196993164,3.31100228
0.691441741,3.489721977
0.433157606,3.411845134
0.806871494,3.186835784
1.360384865,3.054371351
1.275363771,3.060753888
1.008364381,3.006315267
0.712377298,3.010857027
0.740275584,3.114388464
0.698025548,3.274050328
0.951573132,3.380434749
0.690968086,3.348251677
0.63995543,3.203304679
1.504612848,3.055504696
0.389818162,2.952334333
0.567817756,2.874013307
0.745438425,2.894303028
0.570422859,2.855249172
0.230670043,2.828136368
0.641234299,2.818459087
0.270078148,2.806222823
0.335347824,2.809372081
0.277467168,2.871799359
0.560428736,3.081797418
0.297976435,3.318843936
0.770257953,3.59948698
0.342831575,3.584331264
0.200166653,3.437726354
0.21655512,3.203338574
0.213476362,3.060753888
0.290918974,2.857348044
0.815918306,2.69724533
0.634176838,2.667491341
0.797966778,2.756588906
0.721708303,2.925697485
0.559102501,3.042481637
0.58117483,3.101381332
0.609594137,3.141747761
0.425484393,3.077778709
0.428799978,2.928788808
0.178378517,2.291673031
0.233701435,2.236897833
0.218307644,2.213336289
0.604526027,2.256343145
0.29106107,2.295437667
0.308870503,2.4598292
0.152801141,2.713867665
0.220154899,2.865982782
0.146122604,2.806195326
0.568528238,2.614666795
0.623756425,2.453843753
0.87180961,2.322624214
1.109726576,2.220272418
1.081875655,2.184006899
0.439978239,2.142756346
0.660796255,2.121285773
0.858594633,2.130585639
0.627166742,2.272218218
0.298592186,2.407619353
0.793514419,2.579434977
0.818665506,2.565722949
0.705083009,2.616274885
0.892839898,2.522190163
0.380487156,2.401076051
0.51173699,2.131225585
0.72227669,2.076450387
0.6931469,2.048493022
0.705840857,2.092598833
0.763437319,2.134990221
0.39057601,2.294985934
0.307923192,2.549024398
0.572317479,2.682457279
0.44376748,2.606185496
0.54233511,2.41575592
0.760879582,2.245042282
0.349225919,2.118218563
0.914438571,2.027955274
0.602584041,1.99278871
0.256105322,1.964725618
0.21518152,1.947650865
0.326348376,1.965742372
0.468587008,2.126057189
0.324595852,2.260359368
0.375419047,2.427779172
1.64633046,2.408572369
0.856178992,2.451431618
0.658759538,2.354050031
0.98051346,2.248321291
0.592826746,2.291673031
0.388918217,2.236897833
0.235596056,2.213336289
0.390481279,2.256343145
0.668564199,2.295437667
0.423542407,2.4598292
0.501316577,2.713867665
0.164547788,2.865982782
0.258899888,2.806195326
1.020347855,2.614666795
0.712235201,2.453843753
0.917233136,2.322624214
0.679600363,2.220272418
0.823117864,2.184006899
0.337337175,2.142756346
0.525851912,2.121285773
0.49738524,2.130585639
0.756948244,2.272218218
0.811276486,2.407619353
1.12857805,2.579434977
0.699114954,2.565722949
0.645781388,2.616274885
0.609404675,2.522190163
0.410043236,2.401076051
0.586432402,2.476297489
0.247863723,2.421522291
0.295939718,2.396861792
0.565260018,2.442066558
0.58074854,2.484457946
0.38730779,2.648849479
0.290445318,2.906184809
0.437420502,3.053904106
0.488243696,2.990819784
0.809950252,2.799291253
0.405590878,2.621983885
1.663713602,2.489665391
1.454073847,2.376324044
0.953799311,2.340058525
0.592116263,2.293313196
0.526751857,2.272941578
0.30403922,2.285538309
0.827617588,2.439259395
0.533004104,2.575759485
0.525046698,2.755267795
0.430220944,2.749248453
0.583543106,2.804196208
1.047014639,2.706814622
0.518889182,2.584601554
0.683247508,2.476297489
0.348989091,2.421522291
0.496722122,2.396861792
0.193535481,2.442066558
0.633845279,2.484457946
0.374992757,2.648849479
0.440357163,2.906184809
0.523625733,3.053904106
0.736249516,2.990819784
0.370540399,2.799291253
0.567817756,2.621983885
0.578996016,2.489665391
0.572933231,2.376324044
0.784088683,2.340058525
1.586128894,2.293313196
1.859948918,2.272941578
1.451231916,2.285538309
1.718562865,2.439259395
0.93608461,2.575759485
1.232592714,2.755267795
0.81714981,2.749248453
0.419989993,2.804196208
0.731323502,2.706814622
0.549013647,2.584601554
0.760642754,2.547020319
0.550434613,2.468778047
0.239006373,2.436170164
0.482986124,2.45001376
0.283387857,2.461150918
0.544419193,2.49236433
0.176247069,2.54585236
0.369498358,2.709251636
0.455182569,2.936258587
0.447130432,3.089702316
0.453619507,2.998638013
1.212699199,2.787915079
1.552878305,2.651054825
0.99297059,2.661833183
0.462808416,2.615087248
0.443672749,2.633915424
0.451345962,2.748436412
0.944515671,2.925681558
0.704325161,3.038659709
0.724408138,3.006476638
0.678132033,2.85933173
0.871525417,2.710432792
0.980418729,2.597371833
0.47194996,2.530040358
0.643365747,2.894303028
0.335063631,2.855249172
0.496390564,2.828136368
0.564170611,2.818459087
0.249616247,2.806222823
0.800808708,2.809372081
0.318959357,2.871799359
0.352494139,3.081797418
0.410043236,3.318843936
0.937789768,3.59948698
0.795882695,3.584331264
0.779446862,3.437726354
1.411539618,3.203338574
1.074581367,3.060753888
0.678084667,2.857348044
0.481044138,2.69724533
0.902976117,2.667491341
0.521589016,2.756588906
0.622524922,2.925697485
0.948589105,3.042481637
0.75794292,3.101381332
0.599742111,3.141747761
0.731228771,3.077778709
0.762868933,2.928788808
0.262594397,2.83125999
0.431120889,2.768792106
0.328716652,2.749626383
0.400333306,2.794831149
0.69272061,2.82952985
0.453098486,2.997218249
0.429889385,3.255652534
0.603720814,3.426449889
0.568528238,3.365563477
1.871079813,3.199310913
0.694425769,3.035191006
0.474034042,2.888586096
0.480002097,2.779640569
0.271688576,2.73897923
1.756028985,2.684541215
1.159318267,2.64988318
0.685142128,2.651490361
1.059471768,2.787628165
0.770447415,2.917534524
0.475691835,3.097042834
0.559765619,3.093221402
1.424849326,3.149268113
0.654828201,3.061777122
0.691489107,2.928574504
0.487817406,3.012587583
0.309912544,2.950119699
0.39564412,2.929855021
0.266004714,2.971762921
0.32019086,3.010857444
0.171036863,3.175248977
0.48630171,3.436980127
0.149532921,3.600084796
0.694662596,3.543594205
0.565970501,3.376242686
0.870767569,3.214320689
0.174399814,3.077606375
0.387686714,2.971957713
0.566633618,2.93459324
0.141386053,2.884551046
0.499800881,2.853189876
0.220107533,2.848203326
0.651891539,2.979945309
0.616793695,3.110950624
0.242416689,3.287162068
0.529499057,3.276746906
0.41506398,3.329496751
0.604005007,3.243104715
0.628824535,3.115396873
0.634176838,4.024725239
0.611204564,3.962257356
0.472707808,3.943091632
0.523909926,3.990494309
0.328242997,4.029588831
0.4497829,4.193980364
0.388491928,4.464503155
0.382855432,4.629805734
0.449735535,4.571117233
0.37897146,4.393875118
1.076997008,4.211072974
0.77461558,4.052379557
0.637681886,3.929147614
0.317206833,3.880793589
0.44926188,3.82965244
0.254068605,3.79389545
0.583969395,3.795502631
0.428231592,3.93273939
0.464418843,4.074734255
0.692152224,4.265232116
0.73894935,4.282290832
0.560712929,4.346030228
0.377171571,4.251945506
1.22714568,4.114347068
0.45579832,3.807132128
0.370161475,3.75235693
0.494495943,3.724399565
0.544561289,3.776198062
0.405827705,3.810896764
0.554271219,3.976387252
0.724881793,4.250206909
0.338189754,4.411113667
0.55943406,4.352425166
0.3568044,4.175183051
0.500274536,4.006667323
0.497053681,3.853468682
0.258805157,3.73463256
1.063924126,3.68298167
0.832022581,3.632939476
0.886635016,3.601578306
0.625319487,3.600987576
0.703141023,3.73492747
0.633182162,3.87582338
0.662738241,4.065222286
0.465460885,4.073489361
0.801282363,4.132832937
0.821838995,4.038748215
1.031810309,3.904446642
0.658854269,2.648833441
0.236259173,2.586365558
0.243079807,2.569397744
0.386928866,2.614602511
0.278035554,2.653697033
0.284524629,2.818088566
0.543756076,3.083116582
0.538451138,3.246221251
0.216365658,3.189730659
0.662785607,3.019082275
1.065439823,2.845071772
1.90361992,2.696268951
2.631438374,2.58842238
2.147315478,2.54116731
1.171064914,2.487828251
6.165331845,2.456467081
1.048388238,2.458074262
0.818949699,2.597508931
0.650849498,2.726316335
1.038583578,2.912418376
1.359248092,2.914091719
0.226643974,2.969039475
0.551002999,2.879350574
0.733265488,2.746147956
0.716877021,2.719556271
0.646776064,2.633621313
0.122960869,2.608706116
0.222475809,2.622549713
0.299492131,2.630390005
0.40810125,2.661603417
0.67510064,2.722784132
0.398580782,2.90156878
0.254826454,3.135169462
0.523720464,3.309493338
0.464987229,3.2217259
0.943426264,2.99451864
0.346857643,2.863153161
0.230622677,2.862941968
1.183427313,2.809602302
0.730991944,2.817440928
0.594389808,2.920972364
0.691441741,3.083931094
1.581771267,3.189216559
0.843248207,3.163627219
0.940915892,3.024174996
0.101741119,2.875276058
0.740465046,2.769907785
0.522110037,2.691586759
0.71308778,3.259156124
0.414685056,3.224498089
0.339326527,3.192989464
0.303044545,3.176718453
0.265767887,3.172174874
0.170800036,3.172027268
0.231712084,3.237751411
0.515620962,3.437858874
0.631477003,3.681499123
1.476998755,3.961043211
1.692227641,3.954679136
1.159934019,3.824558553
0.857789419,3.595665548
0.617125253,3.451981907
0.656438628,3.256268749
0.16653714,3.096166035
0.538924793,3.059818316
0.789677813,3.145619015
0.860394522,3.312529684
0.795124847,3.423819061
1.590344425,3.476125025
0.448551397,3.506600858
0.863662742,3.44373076
0.503258563,3.303532501
0.459824389,2.83125999
0.620819763,2.768792106
0.555502723,2.749626383
0.300628903,2.794831149
0.31048093,2.82952985
0.329569231,2.997218249
0.664064476,3.255652534
0.421742517,3.426449889
0.782099331,3.365563477
1.232971638,3.199310913
0.60523651,3.035191006
0.635834631,2.888586096
0.484407089,2.779640569
0.70939327,2.73897923
0.489948854,2.684541215
0.643128919,2.64988318
0.767558119,2.651490361
0.606846937,2.787628165
0.310812489,2.917534524
0.269178204,3.097042834
0.242653517,3.093221402
0.476118125,3.149268113
0.44746199,3.061777122
1.964768796,2.928574504
0.473276194,3.012587583
0.257905212,2.950119699
0.80881348,2.929855021
0.665011786,2.971762921
0.769310643,3.010857444
0.38456059,3.175248977
0.352541504,3.436980127
0.189130489,3.600084796
0.49369073,3.543594205
0.504632163,3.376242686
1.184421988,3.214320689
0.629629749,3.077606375
1.179259148,2.971957713
1.944685819,2.93459324
0.749275031,2.884551046
0.546124351,2.853189876
0.649523263,2.848203326
0.606278551,2.979945309
0.347236567,3.110950624
1.159555095,3.287162068
0.685615783,3.276746906
0.302523524,3.329496751
0.440262432,3.243104715
0.769405374,3.115396873
0.493595999,2.648833441
0.36651433,2.586365558
0.476118125,2.569397744
0.568622969,2.614602511
0.462003202,2.653697033
0.710198484,2.818088566
0.492506592,3.083116582
0.516520906,3.246221251
0.358035904,3.189730659
0.704040968,3.019082275
0.447367259,2.845071772
0.405069857,2.696268951
1.084622855,2.58842238
0.829322746,2.54116731
0.432020833,2.487828251
0.259278812,2.456467081
0.530872656,2.458074262
0.965261765,2.597508931
0.89260307,2.726316335
1.208104744,2.912418376
0.379160922,2.914091719
0.497764164,2.969039475
0.799908763,2.879350574
0.750695997,2.746147956
0.659754214,2.648833441
0.330042886,2.586365558
0.429605192,2.569397744
0.193061826,2.614602511
0.662075124,2.653697033
0.456887727,2.818088566
0.297029125,3.083116582
0.617883102,3.246221251
0.454614182,3.189730659
1.835981969,3.019082275
0.78295191,2.845071772
0.510694948,2.696268951
0.550387247,2.58842238
1.215920054,2.54116731
1.901251644,2.487828251
0.784183414,2.456467081
0.651323153,2.458074262
0.544182365,2.597508931
0.980418729,2.726316335
1.227050949,2.912418376
1.164291646,2.914091719
0.73989666,2.969039475
1.057671879,2.879350574
0.750601266,2.746147956
0.484549186,2.131225585
0.571749093,2.076450387
0.23597498,2.048493022
0.459824389,2.092598833
0.65800169,2.134990221
0.392470631,2.294985934
0.267662507,2.549024398
0.367272179,2.682457279
0.400191209,2.606185496
0.523294175,2.41575592
0.315075385,2.245042282
0.217312968,2.118218563
0.713798263,2.027955274
0.846895351,1.99278871
1.039388791,1.964725618
0.538309042,1.947650865
0.893645111,1.965742372
0.756427224,2.126057189
0.5455086,2.260359368
1.011869429,2.427779172
0.804645315,2.408572369
0.522678423,2.451431618
0.347473395,2.354050031
0.555644819,2.248321291
0.455940417,2.201948414
0.570375493,2.123706142
0.689168197,2.087801394
0.074458585,2.100546035
0.496722122,2.111683193
0.557255246,2.138500784
0.496437929,2.188691949
0.607510055,2.337804808
